"","Domain","Phylum","Class","Order","Family","Genus"
"GU061254.1.1459","Bacteria","Proteobacteria","SPOTSOCT00m83","","",""
"GQ263707.1.1427","Bacteria","Actinobacteria","Thermoleophilia","Solirubrobacterales","TM146",""
"JQ032458.1.1206","Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","Halomonadaceae","Halomonas"
"JQ612360.1.1515","Bacteria","Acidobacteria","Acidobacteria","Subgroup 6","",""
"EU375199.1.1201","Bacteria","Actinobacteria","Acidimicrobiia","Acidimicrobiales","Acidimicrobiaceae","uncultured"
"EU008564.1.1421","Bacteria","Bacteroidetes","Cytophagia","Order III Incertae Sedis","Family Incertae Sedis","Balneola"
"FJ748779.1.1500","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","JTB255 marine benthic group",""
"DQ846830.1.1264","Bacteria","Actinobacteria","Actinobacteria","Corynebacteriales","Nocardiaceae","Rhodococcus"
"HM238147.1.1408","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sandaracinobacter"
"AY676890.1.1416","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Candidatus Baumannia"
"EU680468.1.1479","Bacteria","Bacteroidetes","Sphingobacteriia","Sphingobacteriales","S15-21",""
"JN638997.1.1372","Bacteria","Actinobacteria","Actinobacteria","Corynebacteriales","Nocardiaceae","Nocardia"
"EF584060.1.1453","Bacteria","Proteobacteria","Gammaproteobacteria","Alteromonadales","Shewanellaceae","Shewanella"
"EU774070.1.1371","Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae","Sarcina"
"GQ379601.1.1243","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingopyxis"
"HQ121225.1.1506","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Oxalobacteraceae","Herbaspirillum"
"JQ989852.1.1466","Bacteria","Chloroflexi","Dehalococcoidia","GIF3","",""
"JX945327.1.1452","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Erythrobacteraceae","uncultured"
"AB183568.1.1257","Bacteria","Cyanobacteria","Cyanobacteria","SubsectionIII","FamilyI","Phormidium"
"GU234844.1.1355","Bacteria","Actinobacteria","Actinobacteria","Micrococcales","Microbacteriaceae","Candidatus Aquiluna"
"D12664.1.1256","Bacteria","Bacteroidetes","Flavobacteria","Flavobacteriales","Flavobacteriaceae","Flavobacterium"
"AY922007.1.1336","Bacteria","Proteobacteria","Alphaproteobacteria","Caulobacterales","Caulobacteraceae","uncultured"
"JN038018.1.1052","Archaea","Euryarchaeota","Halobacteria","Halobacteriales","Halobacteriaceae","uncultured"
"JF238718.1.1356","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Enhydrobacter"
"GU451382.1.1229","Bacteria","Bacteroidetes","Sphingobacteriia","Sphingobacteriales","Saprospiraceae","Rubidimonas"
"JX575992.1.1282","Bacteria","RF3","","","",""
